trial_id,geometry_trial_id,object_name,task_name,mode,policy_variant,benchmark_cell,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json
0000_claw_hammer_llm_lie_x+0p000_y+0p000_pretrained,0000_claw_hammer_llm_lie_x+0p000_y+0p000,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0000_claw_hammer_llm_lie_x+0p000_y+0p000_pretrained,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0000_claw_hammer_llm_lie_x+0p000_y+0p000_pretrained,,claw_hammer,0,False
0000_claw_hammer_llm_lie_x+0p000_y+0p000_finetuned,0000_claw_hammer_llm_lie_x+0p000_y+0p000,claw_hammer,swing_down,llm_lie,finetuned,llm_lie + finetuned,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0000_claw_hammer_llm_lie_x+0p000_y+0p000_finetuned,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0000_claw_hammer_llm_lie_x+0p000_y+0p000_finetuned,,claw_hammer,0,False
0001_mallet_hammer_llm_lie_x+0p000_y+0p000_pretrained,0001_mallet_hammer_llm_lie_x+0p000_y+0p000,mallet_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0001_mallet_hammer_llm_lie_x+0p000_y+0p000_pretrained,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0001_mallet_hammer_llm_lie_x+0p000_y+0p000_pretrained,,mallet_hammer,0,False
0001_mallet_hammer_llm_lie_x+0p000_y+0p000_finetuned,0001_mallet_hammer_llm_lie_x+0p000_y+0p000,mallet_hammer,swing_down,llm_lie,finetuned,llm_lie + finetuned,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0001_mallet_hammer_llm_lie_x+0p000_y+0p000_finetuned,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0001_mallet_hammer_llm_lie_x+0p000_y+0p000_finetuned,,mallet_hammer,0,False
0002_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000_pretrained,0002_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0002_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000_pretrained,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0002_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000_pretrained,,claw_hammer,0,False
0002_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000_finetuned,0002_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000,cuboid_hammer_v014,swing_down,llm_lie,finetuned,llm_lie + finetuned,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0002_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000_finetuned,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0002_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000_finetuned,,claw_hammer,0,False
0003_long_screwdriver_llm_lie_x+0p000_y+0p000_pretrained,0003_long_screwdriver_llm_lie_x+0p000_y+0p000,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0003_long_screwdriver_llm_lie_x+0p000_y+0p000_pretrained,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0003_long_screwdriver_llm_lie_x+0p000_y+0p000_pretrained,,long_screwdriver,0,False
0003_long_screwdriver_llm_lie_x+0p000_y+0p000_finetuned,0003_long_screwdriver_llm_lie_x+0p000_y+0p000,long_screwdriver,spin_vertical,llm_lie,finetuned,llm_lie + finetuned,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0003_long_screwdriver_llm_lie_x+0p000_y+0p000_finetuned,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0003_long_screwdriver_llm_lie_x+0p000_y+0p000_finetuned,,long_screwdriver,0,False
0004_short_screwdriver_llm_lie_x+0p000_y+0p000_pretrained,0004_short_screwdriver_llm_lie_x+0p000_y+0p000,short_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0004_short_screwdriver_llm_lie_x+0p000_y+0p000_pretrained,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0004_short_screwdriver_llm_lie_x+0p000_y+0p000_pretrained,,short_screwdriver,0,False
0004_short_screwdriver_llm_lie_x+0p000_y+0p000_finetuned,0004_short_screwdriver_llm_lie_x+0p000_y+0p000,short_screwdriver,spin_vertical,llm_lie,finetuned,llm_lie + finetuned,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0004_short_screwdriver_llm_lie_x+0p000_y+0p000_finetuned,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0004_short_screwdriver_llm_lie_x+0p000_y+0p000_finetuned,,short_screwdriver,0,False
0005_cylinder_screwdriver_v3009_llm_lie_x+0p000_y+0p000_pretrained,0005_cylinder_screwdriver_v3009_llm_lie_x+0p000_y+0p000,cylinder_screwdriver_v3009,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0005_cylinder_screwdriver_v3009_llm_lie_x+0p000_y+0p000_pretrained,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0005_cylinder_screwdriver_v3009_llm_lie_x+0p000_y+0p000_pretrained,,long_screwdriver,0,False
0005_cylinder_screwdriver_v3009_llm_lie_x+0p000_y+0p000_finetuned,0005_cylinder_screwdriver_v3009_llm_lie_x+0p000_y+0p000,cylinder_screwdriver_v3009,spin_vertical,llm_lie,finetuned,llm_lie + finetuned,0,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,execution_failure,env_bootstrap_failure,Missing eval.json under experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0005_cylinder_screwdriver_v3009_llm_lie_x+0p000_y+0p000_finetuned,experiments/results/finetuned_policy_full_dashboard_retry_2026-03-31_physxfix/execution/artifacts/0005_cylinder_screwdriver_v3009_llm_lie_x+0p000_y+0p000_finetuned,,long_screwdriver,0,False
