trial_id,object_name,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,error
0000_claw_hammer_predefined,claw_hammer,swing_down,predefined,0,claw_hammer,,,,-0.22269390561861938,0.04258896007442232,True,True,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0001_claw_hammer_llm_lie_x-0p350_y-0p200,claw_hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,-0.16,True,True,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0002_claw_hammer_llm_lie_x+0p350_y-0p200,claw_hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,-0.16,True,True,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0003_claw_hammer_llm_lie_x-0p350_y+0p200,claw_hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.16,True,True,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0004_claw_hammer_llm_lie_x+0p350_y+0p200,claw_hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,0.16,True,True,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0005_claw_hammer_llm_only,claw_hammer,swing_down,llm_only,0,claw_hammer,,,,,,True,True,37,0,0.002477976690387895,0.00399639586481873,0.0,0.0,1.0647205635790191,1.063522885716736,0.9988751247010228,38.0,
0006_mallet_hammer_predefined,mallet_hammer,swing_down,predefined,0,mallet_hammer,,,,-0.1397246196175466,0.05058474355746264,True,True,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0007_mallet_hammer_llm_lie_x-0p350_y-0p200,mallet_hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.19749999999999998,-0.16,True,True,22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0008_mallet_hammer_llm_lie_x+0p350_y-0p200,mallet_hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.19749999999999998,-0.16,True,True,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0009_mallet_hammer_llm_lie_x-0p350_y+0p200,mallet_hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.19749999999999998,0.16,True,True,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0010_mallet_hammer_llm_lie_x+0p350_y+0p200,mallet_hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.19749999999999998,0.16,True,True,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0011_mallet_hammer_llm_only,mallet_hammer,swing_down,llm_only,0,mallet_hammer,,,,,,True,True,36,0,0.0024760827619925625,0.004,0.0,0.0,0.6542138327682845,0.652694907988538,0.9976782441708406,37.0,
0012_cuboid_hammer_v014_predefined,cuboid_hammer_v014,swing_down,predefined,0,claw_hammer,,,,-0.1959162963345168,0.047830040448630005,True,True,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0013_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,-0.16,True,True,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0014_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,-0.16,True,True,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0015_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.16,True,True,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0016_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,0.16,True,True,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0017_cuboid_hammer_v014_llm_only,cuboid_hammer_v014,swing_down,llm_only,0,claw_hammer,,,,,,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Errno 2] No such file or directory: '/workspace/dextoolbench/trajectories/hammer/cuboid_hammer_v014/swing_down.json'
0018_long_screwdriver_predefined,long_screwdriver,spin_vertical,predefined,0,long_screwdriver,,,,-0.0593696929539107,-0.04574792165983691,True,True,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0019_long_screwdriver_llm_lie_x-0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0020_long_screwdriver_llm_lie_x+0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0021_long_screwdriver_llm_lie_x-0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022_long_screwdriver_llm_lie_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0023_long_screwdriver_llm_only,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,,,,,,True,True,100,0,0.0025210590559553102,0.003999999999999997,0.0,0.0,0.768259752074074,0.7687794164844235,1.0006764175904654,101.0,
0024_short_screwdriver_predefined,short_screwdriver,spin_vertical,predefined,0,short_screwdriver,,,,-0.08168831378190461,-0.043994911527795284,True,True,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0025_short_screwdriver_llm_lie_x-0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0026_short_screwdriver_llm_lie_x+0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0027_short_screwdriver_llm_lie_x-0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0028_short_screwdriver_llm_lie_x+0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0029_short_screwdriver_llm_only,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,,,,,,True,True,76,0,0.002513050028371492,0.0040000000000000036,0.0,0.0,0.5576316390668257,0.5579151730534245,1.0005084610820745,77.0,
0030_cylinder_screwdriver_v3009_predefined,cylinder_screwdriver_v3009,spin_vertical,predefined,0,long_screwdriver,,,,-0.0593696929539107,-0.04574792165983691,True,True,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0031_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0032_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0033_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0034_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0035_cylinder_screwdriver_v3009_llm_only,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,,,,,,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Errno 2] No such file or directory: '/workspace/dextoolbench/trajectories/screwdriver/cylinder_screwdriver_v3009/spin_vertical.json'
