trial_id,geometry_trial_id,object_name,task_name,mode,seed,execution_success,goal_completion_pct,peak_success_count,failure_stage,failure_category,error,artifact_dir,resolved_baseline_object,eval_returncode,produced_eval_json
0000_claw_hammer_predefined,0000_claw_hammer_predefined,claw_hammer,swing_down,predefined,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0000_claw_hammer_predefined,claw_hammer,0,True
0001_claw_hammer_llm_lie_x-0p350_y-0p200,0001_claw_hammer_llm_lie_x-0p350_y-0p200,claw_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0001_claw_hammer_llm_lie_x-0p350_y-0p200,claw_hammer,0,True
0002_claw_hammer_llm_lie_x+0p350_y-0p200,0002_claw_hammer_llm_lie_x+0p350_y-0p200,claw_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0002_claw_hammer_llm_lie_x+0p350_y-0p200,claw_hammer,0,True
0003_claw_hammer_llm_lie_x-0p350_y+0p200,0003_claw_hammer_llm_lie_x-0p350_y+0p200,claw_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0003_claw_hammer_llm_lie_x-0p350_y+0p200,claw_hammer,0,True
0004_claw_hammer_llm_lie_x+0p350_y+0p200,0004_claw_hammer_llm_lie_x+0p350_y+0p200,claw_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0004_claw_hammer_llm_lie_x+0p350_y+0p200,claw_hammer,0,True
0005_mallet_hammer_predefined,0005_mallet_hammer_predefined,mallet_hammer,swing_down,predefined,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0005_mallet_hammer_predefined,mallet_hammer,0,True
0006_mallet_hammer_llm_lie_x-0p350_y-0p200,0006_mallet_hammer_llm_lie_x-0p350_y-0p200,mallet_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0006_mallet_hammer_llm_lie_x-0p350_y-0p200,mallet_hammer,0,True
0007_mallet_hammer_llm_lie_x+0p350_y-0p200,0007_mallet_hammer_llm_lie_x+0p350_y-0p200,mallet_hammer,swing_down,llm_lie,0,True,66.66666666666667,67,,,,experiments/results/thesis_main_6obj/execution/artifacts/0007_mallet_hammer_llm_lie_x+0p350_y-0p200,mallet_hammer,0,True
0008_mallet_hammer_llm_lie_x-0p350_y+0p200,0008_mallet_hammer_llm_lie_x-0p350_y+0p200,mallet_hammer,swing_down,llm_lie,0,True,78.94736842105263,79,,,,experiments/results/thesis_main_6obj/execution/artifacts/0008_mallet_hammer_llm_lie_x-0p350_y+0p200,mallet_hammer,0,True
0009_mallet_hammer_llm_lie_x+0p350_y+0p200,0009_mallet_hammer_llm_lie_x+0p350_y+0p200,mallet_hammer,swing_down,llm_lie,0,False,0.0,0,,,,experiments/results/thesis_main_6obj/execution/artifacts/0009_mallet_hammer_llm_lie_x+0p350_y+0p200,mallet_hammer,0,True
0010_cuboid_hammer_v014_predefined,0010_cuboid_hammer_v014_predefined,cuboid_hammer_v014,swing_down,predefined,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0010_cuboid_hammer_v014_predefined,claw_hammer,0,True
0011_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,0011_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0011_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,claw_hammer,0,True
0012_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,0012_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0012_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,claw_hammer,0,True
0013_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,0013_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0013_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,claw_hammer,0,True
0014_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,0014_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0014_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,claw_hammer,0,True
0015_long_screwdriver_predefined,0015_long_screwdriver_predefined,long_screwdriver,spin_vertical,predefined,0,True,58.0,58,,,,experiments/results/thesis_main_6obj/execution/artifacts/0015_long_screwdriver_predefined,long_screwdriver,0,True
0016_long_screwdriver_llm_lie_x-0p350_y-0p200,0016_long_screwdriver_llm_lie_x-0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0016_long_screwdriver_llm_lie_x-0p350_y-0p200,long_screwdriver,0,True
0017_long_screwdriver_llm_lie_x+0p350_y-0p200,0017_long_screwdriver_llm_lie_x+0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,True,22.22222222222222,22,,,,experiments/results/thesis_main_6obj/execution/artifacts/0017_long_screwdriver_llm_lie_x+0p350_y-0p200,long_screwdriver,0,True
0018_long_screwdriver_llm_lie_x-0p350_y+0p200,0018_long_screwdriver_llm_lie_x-0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0018_long_screwdriver_llm_lie_x-0p350_y+0p200,long_screwdriver,0,True
0019_long_screwdriver_llm_lie_x+0p350_y+0p200,0019_long_screwdriver_llm_lie_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0019_long_screwdriver_llm_lie_x+0p350_y+0p200,long_screwdriver,0,True
0020_short_screwdriver_predefined,0020_short_screwdriver_predefined,short_screwdriver,spin_vertical,predefined,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0020_short_screwdriver_predefined,short_screwdriver,0,True
0021_short_screwdriver_llm_lie_x-0p350_y-0p200,0021_short_screwdriver_llm_lie_x-0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0021_short_screwdriver_llm_lie_x-0p350_y-0p200,short_screwdriver,0,True
0022_short_screwdriver_llm_lie_x+0p350_y-0p200,0022_short_screwdriver_llm_lie_x+0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0022_short_screwdriver_llm_lie_x+0p350_y-0p200,short_screwdriver,0,True
0023_short_screwdriver_llm_lie_x-0p350_y+0p200,0023_short_screwdriver_llm_lie_x-0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0023_short_screwdriver_llm_lie_x-0p350_y+0p200,short_screwdriver,0,True
0024_short_screwdriver_llm_lie_x+0p350_y+0p200,0024_short_screwdriver_llm_lie_x+0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,False,0.0,0,,,,experiments/results/thesis_main_6obj/execution/artifacts/0024_short_screwdriver_llm_lie_x+0p350_y+0p200,short_screwdriver,0,True
0025_cylinder_screwdriver_v3009_predefined,0025_cylinder_screwdriver_v3009_predefined,cylinder_screwdriver_v3009,spin_vertical,predefined,0,True,23.0,23,,,,experiments/results/thesis_main_6obj/execution/artifacts/0025_cylinder_screwdriver_v3009_predefined,long_screwdriver,0,True
0026_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,0026_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,False,0.0,0,,,,experiments/results/thesis_main_6obj/execution/artifacts/0026_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,long_screwdriver,0,True
0027_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,0027_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,False,0.0,0,,,,experiments/results/thesis_main_6obj/execution/artifacts/0027_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,long_screwdriver,0,True
0028_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,0028_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,True,11.11111111111111,11,,,,experiments/results/thesis_main_6obj/execution/artifacts/0028_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,long_screwdriver,0,True
0029_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,0029_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,True,22.22222222222222,22,,,,experiments/results/thesis_main_6obj/execution/artifacts/0029_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,long_screwdriver,0,True
